Category:,Bearing,,,,,,,,,,,,,,,,
Name,Type,Rolling element,Enclosure,Rolling row,Cage,"Size, mm","Static load rating, N","Dynamic load rating, N","Limiting speed, 1/min",Standard,Manufacturer,Material,Wiki,Website,Website lang,Replacer,Image
12204,Cylindrical roller bearing,Roller 6.5x6.5 (11),Open,Single row,Solid brass cage,20x47x14,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=12204&mod=1,-,-,NF204; NJ204,bearing_12204.png
822907,Cylindrical roller bearing,7201209 (12),Open,Single row,7201208 (1),36x50x15,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=822907&mod=1,-,-,-,bearing_822907.png
42209,Cylindrical roller bearing,Roller (16),Open,Single row,Solid brass cage,45x85x19,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=42209&mod=1,-,-,NJ209,bearing_42209l.png
864708 ДМ,Cylindrical roller bearing,6601209 (18),Open,Single row,6601208 (1),40x50x17,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=864708&mod=1,-,-,K40x50x17,bearing_864708_dm.png
K40x50x17,Cylindrical roller bearing,Roller (18),Open,Single row,Cage,40x50x17,30200,39200,11500,DIN 5405-1,INA,-,https://medias.schaeffler.com/medias/en!hp.ec.br.pr/RNAO*RNAO40X50X17-XL?clrsb=1&,-,-,-,bearing_k40x50x17.png
18,Deepgroove bearing,Ball (7),Open,Single row,Sheet metal cage,8x22x7,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=18&mod=1,-,-,608; 608-2RS; 608-ZZ,bearing_18.png
110,Deepgroove bearing,Ball (13),Open,Single row,-,50x80x16,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=110&mod=1,-,-,6010,bearing_110.png
200,Deepgroove bearing,Ball (6),Open,Single row,Sheet metal cage,10x30x9,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=200&mod=1,-,-,6200; 6200 - 2RS; 6200-ZZ,bearing_200.png
201,Deepgroove bearing,Ball (7),Open,Single row,Sheet metal cage,12x32x10,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=201&mod=1,-,-,6201; 6201-2RS; 6201-ZZ,bearing_201.png
203,Deepgroove bearing,Ball (no data),Sealed,Single row,-,17x40x12,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=203&mod=1,-,-,6203-2RS; 6203-ZZ,-
204,Deepgroove bearing,Ball (8),Open,Single row,Sheet metal cage,20x47x14,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=204&mod=1,-,-,6204,bearing_204.png
205,Deepgroove bearing,Ball (9),Open,Single row,Sheet metal cage,25x52x15,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=205&mod=1,-,-,6205,bearing_205.png
206,Deepgroove bearing,Ball (9),Open,Single row,Cage,30x62x16,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=206&mod=1,-,-,6206,bearing_206.png
207,Deepgroove bearing,Ball (9),Open,Single row,Sheet metal cage,35x72x17,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=207&mod=1,-,-,6207; 6207M; 32207 (For rear journal only),bearing_207.png
209,Deepgroove bearing,Ball (9),Open,Single row,Sheet metal cage,45x85x19,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=209&mod=1,-,-,6209,bearing_209.png
303,Deepgroove bearing,Ball (no data),Open,Single row,Sheet metal cage,17x47x14,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=303&mod=1,-,-,6303,bearing_303.png
304,Deepgroove bearing,Ball (no data),Open,Single row,Sheet metal cage,20x52x15,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=304&mod=1,-,-,6304,bearing_304.png
180503,Deepgroove bearing,Ball (7),Sealed,Single row,-,17x40x16,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=180503&mod=1,-,-,62203-ZZ; 62203-2RS; 6203-2RS (+ 4mm spacer); 6203-ZZ (+ 4mm spacer),bearing_180503.png
7000105,Deepgroove bearing,Ball (no data),Open,Single row,-,25x47x8,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=7000105&mod=1,-,-,16005,bearing_7000105.png
3086304Л,Deepgroove bearing,Ball (no data),Open,2 row,Solid brass cage,20x52x22.22,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=3086304&mod=1,-,-,5304; 3304; 3304B TVH; BMW 07119982468,bearing_3086304_l.png
3304-BD-XL-TVH,Deepgroove bearing,Ball (no data),Open,2 row,"Solid polyamide Snap cage, ball guided",20x52x22.22,15900,24600,14700,-,FAG,-,https://medias.schaeffler.com/medias/en!hp.ec.br.pr/33..-BD*3304-BD-XL-TVH?pattern=3304-BD-XL-TVH,-,-,-,bearing_3304b_tvh.png
6207M,Deepgroove bearing,Ball (9),Open,Single row,Solid brass cage,35x72x17,-,-,-,-,SLF,-,-,https://www.dswaelzlager.de/Rillenkugellager-6207-M-SLF-Messingkaefig-35x72x17mm-Massivkaefig-aus-Messing-waelzkoerpergefuehrt,-,-,bearing_6207m.png
407-1004058-A,Half-bearing,-,-,-,-,47.975-48.000 (diameter of con rod big end journal),-,-,-,-,USSR,-,-,-,-,-,bearing_407-1004058_a.png
Half-bearing 7205238/39,Half-bearing,-,-,-,-,-,-,-,-,-,USSR,Bronze,-,-,-,Roller 3x15.8 45 pcs kit,-
Roller 2.5x10 120 pcs kit,"Kit, Roller",Roller 2.5x10 (120),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roller 3x15.8 45 pcs kit,"Kit, Roller",Roller 3x15.8 (45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roller 3x15.8 90 pcs kit,"Kit, Roller",Roller 3x15.8 (90),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7201107,Plain bearing,-,-,-,-,20x26x19.5,-,-,-,-,USSR,БрАЖМЦ 10-3-1.5,-,-,-,-,bearing_7201107.png
7201404,Plain bearing,-,-,-,-,-,-,-,-,-,USSR,БрАЖМЦ 10-3-1.5; АЛ-5,-,-,-,-,bearing_7201404.png
7201234-A,Plain bearing,-,-,-,-,21x23.5x25,-,-,-,-,USSR,БрОФ 10,-,-,-,-,bearing_7201234-a.png
874901,Roller bearing,Roller (no data),Open,Single row,-,13x32x20,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=874901&mod=1,-,-,-,bearing_874901.png
904700УС17,Roller bearing,Roller (no data),-,-,-,10x19x9,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=904700&mod=1,-,-,-,bearing_904700US17.png
32207,Roller bearing,Roller (13),Open,Single row,-,35x72x17,-,-,-,GOST 520-89,-,-,https://aprom.by/cgi-bin/boardauto.pl?&words=32207&mod=1,-,-,NU207,bearing_32207.png
