Category:,Standard (i),,,
Name,Description,Replacer,Wiki,Image
GOST 13940-86,Outer concentric flat thrust spring retaining rings and grooves,-,https://meganorm.ru/Data2/1/4294837/4294837454.pdf,-
GOST 13943-86,Inner eccentric flat thrust spring retaining rings and grooves,-,https://meganorm.ru/Data2/1/4294837/4294837451.pdf,-
GOST 2043-54,"Spark plugs for car, tractor and motorcycle engines",-,-,-
GOST 2043-74,Spark plugs,-,-,-
GOST 2068-61,Rubber for electric cables wires and cords,-,https://meganorm.ru/Data2/1/4294763/4294763325.pdf,-
GOST 3923-47,High voltage wires for tractor ignition devices,-,-,-
GOST V-2043-43,Spark plugs for tractor type engines,-,-,-
OST 1.10241-71,Round spring lock rings,-,https://meganorm.ru/Data2/1/4293833/4293833351.pdf,-
